<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiH9,D,20170310,,,,,,
SiH9,D,20170313,,,,,,
SiH9,D,20170314,,,,,,
SiH9,D,20170315,,,,,,
SiH9,D,20170316,,,,,,
SiH9,D,20170317,,,,,,
SiH9,D,20170320,,,,,,
SiH9,D,20170321,,,,,,
SiH9,D,20170322,,,,,,
SiH9,D,20170323,,,,,,
SiH9,D,20170324,,,,,,
SiH9,D,20170327,65210,65210,63119,64988,1232,362
SiH9,D,20170328,64864,64864,64750,64750,21,322
SiH9,D,20170329,64800,65574,64750,64750,54,222
SiH9,D,20170330,64710,64835,64500,64500,78,154
SiH9,D,20170331,64400,64904,64400,64904,32,148
SiH9,D,20170403,64800,64800,64800,64800,1,148
SiH9,D,20170404,64658,65393,64658,65200,13,144
SiH9,D,20170405,,,,,,144
SiH9,D,20170406,,,,,,144
SiH9,D,20170407,65305,65305,65305,65305,1,142
SiH9,D,20170410,,,,,,142
SiH9,D,20170411,,,,,,142
SiH9,D,20170412,65552,65552,65552,65552,1,144
SiH9,D,20170413,,,,,,144
SiH9,D,20170414,,,,,,144
SiH9,D,20170417,64988,64988,64988,64988,1,144
SiH9,D,20170418,,,,,,144
SiH9,D,20170419,,,,,,144
SiH9,D,20170420,64728,64728,64728,64728,1,146
SiH9,D,20170421,,,,,,146
SiH9,D,20170424,,,,,,146
SiH9,D,20170425,,,,,,146
SiH9,D,20170426,64865,64865,64865,64865,1,144
SiH9,D,20170427,65086,65086,65086,65086,1,144
SiH9,D,20170428,,,,,,144
SiH9,D,20170502,,,,,,144
SiH9,D,20170503,,,,,,144
SiH9,D,20170504,,,,,,144
SiH9,D,20170505,66409,66409,66409,66409,1,142
SiH9,D,20170510,65050,66540,65050,66526,6,142
SiH9,D,20170511,65402,65830,64340,65545,15,142
SiH9,D,20170512,65493,65493,65493,65493,1,142
SiH9,D,20170515,64706,64706,64706,64706,1,144
SiH9,D,20170516,,,,,,144
SiH9,D,20170517,,,,,,144
SiH9,D,20170518,65674,65674,65674,65674,1,142
SiH9,D,20170519,,,,,,142
SiH9,D,20170522,64672,64672,64672,64672,1,144
SiH9,D,20170523,64044,64044,64044,64044,1,144
SiH9,D,20170524,64502,64502,64360,64364,3,146
SiH9,D,20170525,64187,64187,64187,64187,1,144
SiH9,D,20170526,64859,65187,63865,64799,13,144
SiH9,D,20170529,,,,,,144
SiH9,D,20170530,,,,,,144
SiH9,D,20170531,,,,,,144
SiH9,D,20170601,64680,64680,64577,64577,3,144
SiH9,D,20170602,64250,64250,64250,64250,1,146
SiH9,D,20170605,,,,,,146
SiH9,D,20170606,,,,,,146
SiH9,D,20170607,64605,64665,64605,64665,6,134
SiH9,D,20170608,64625,64625,64625,64625,1,132
SiH9,D,20170609,,,,,,132
SiH9,D,20170613,63750,65199,63750,64642,3,134
SiH9,D,20170614,64581,64581,64581,64581,1,136
SiH9,D,20170615,64500,65148,64500,65148,7,136
SiH9,D,20170616,65183,65183,65183,65183,1,136
SiH9,D,20170619,65450,65450,65450,65450,5,136
SiH9,D,20170620,66750,67220,66676,67220,8,142
SiH9,D,20170621,67239,67251,67239,67251,3,138
SiH9,D,20170622,67590,67591,67590,67591,2,140
SiH9,D,20170623,,,,,,140
SiH9,D,20170626,66004,66004,66004,66004,1,140
SiH9,D,20170627,65818,66568,65818,66568,6,144
SiH9,D,20170628,,,,,,144
SiH9,D,20170629,66562,66562,66562,66562,1,146
SiH9,D,20170630,66420,66659,66175,66175,5,138
SiH9,D,20170703,65733,66496,65733,66496,4,136
SiH9,D,20170704,,,,,,136
SiH9,D,20170705,66968,67109,66968,67109,2,136
SiH9,D,20170706,67528,67528,67528,67528,1,138
SiH9,D,20170707,67550,67550,67550,67550,1,138
SiH9,D,20170710,,,,,,138
SiH9,D,20170711,68000,68000,68000,68000,5,138
SiH9,D,20170712,67769,67803,67769,67803,2,138
SiH9,D,20170713,67000,67000,67000,67000,2,134
SiH9,D,20170714,66850,66850,66380,66380,4,128
SiH9,D,20170717,66549,66549,66549,66549,1,130
SiH9,D,20170718,,,,,,130
SiH9,D,20170719,66563,66563,66255,66255,5,138
SiH9,D,20170720,66482,66482,66482,66482,1,138
SiH9,D,20170721,,,,,,138
SiH9,D,20170724,,,,,,138
SiH9,D,20170725,67793,67931,67500,67600,56,162
SiH9,D,20170726,67300,67300,67300,67300,5,172
SiH9,D,20170727,66807,67090,66807,66929,3,176
SiH9,D,20170728,,,,,,176
SiH9,D,20170731,67400,67550,67400,67550,5,184
SiH9,D,20170801,67664,67664,67664,67664,1,184
SiH9,D,20170802,,,,,,184
SiH9,D,20170803,,,,,,184
SiH9,D,20170804,,,,,,184
SiH9,D,20170807,,,,,,184
SiH9,D,20170808,,,,,,184
SiH9,D,20170809,,,,,,184
SiH9,D,20170810,,,,,,184
SiH9,D,20170811,67798,67798,67798,67798,1,186
SiH9,D,20170814,67441,67441,67441,67441,1,188
SiH9,D,20170815,,,,,,188
SiH9,D,20170816,,,,,,188
SiH9,D,20170817,66620,66620,66455,66455,2,192
SiH9,D,20170818,,,,,,192
SiH9,D,20170821,66000,66000,66000,66000,5,202
SiH9,D,20170822,,,,,,202
SiH9,D,20170823,65859,66060,65859,66000,6,202
SiH9,D,20170824,66452,66452,65807,66000,5,202
SiH9,D,20170825,65800,65800,65666,65666,6,214
SiH9,D,20170828,65350,65417,65350,65417,2,216
SiH9,D,20170829,65666,65829,65666,65829,6,226
SiH9,D,20170830,65451,65451,65451,65451,1,226
SiH9,D,20170831,65500,65500,64771,64966,14,240
SiH9,D,20170901,64666,64780,64195,64210,18,258
SiH9,D,20170904,64790,64790,64790,64790,1,260
SiH9,D,20170905,64666,64666,64368,64540,8,276
SiH9,D,20170906,64532,64534,64532,64534,4,276
SiH9,D,20170907,63966,63966,63666,63666,6,288
SiH9,D,20170908,64673,64673,63866,63866,6,298
SiH9,D,20170911,,,,,,298
SiH9,D,20170912,63866,64011,63866,64011,6,294
SiH9,D,20170913,64024,64127,63768,64127,4,298
SiH9,D,20170914,64611,64611,64191,64191,2,300
SiH9,D,20170915,63957,64414,63957,64414,2,300
SiH9,D,20170918,64505,64505,64245,64422,9,308
SiH9,D,20170919,64550,64750,64550,64576,11,308
SiH9,D,20170920,,,,,,308
SiH9,D,20170921,64825,64840,64129,64129,85,338
SiH9,D,20170922,64000,64000,64000,64000,1,340
SiH9,D,20170925,63400,63400,62460,63007,42,292
SiH9,D,20170926,,,,,,292
SiH9,D,20170927,63685,63685,63450,63450,2,292
SiH9,D,20170928,63887,63974,63620,63620,4,296
SiH9,D,20170929,,,,,,296
SiH9,D,20171002,63500,63500,63500,63500,10,314
SiH9,D,20171003,63300,63300,63300,63300,10,318
SiH9,D,20171004,63000,63000,63000,63000,1,318
SiH9,D,20171005,,,,,,318
SiH9,D,20171006,62948,63268,62948,62950,5,328
SiH9,D,20171009,63801,63990,63593,63593,8,334
SiH9,D,20171010,,,,,,334
SiH9,D,20171011,,,,,,334
SiH9,D,20171012,63081,63081,62840,62943,8,336
SiH9,D,20171013,62843,62843,62400,62400,2,338
SiH9,D,20171016,62518,62663,62175,62175,9,348
SiH9,D,20171017,62191,62228,62191,62208,8,350
SiH9,D,20171018,62146,62237,62146,62237,2,350
SiH9,D,20171019,62393,62393,62393,62393,1,350
SiH9,D,20171020,,,,,,350
SiH9,D,20171023,,,,,,350
SiH9,D,20171024,62201,62201,62112,62112,13,350
SiH9,D,20171025,,,,,,350
SiH9,D,20171026,62291,62497,62291,62497,5,352
SiH9,D,20171027,62617,63466,62617,63402,11,370
SiH9,D,20171030,,,,,,370
SiH9,D,20171031,62808,62808,62808,62808,1,370
SiH9,D,20171101,,,,,,370
SiH9,D,20171102,,,,,,370
SiH9,D,20171103,63086,63590,63086,63590,6,370
SiH9,D,20171107,63250,63250,63250,63250,4,370
SiH9,D,20171108,63871,63871,63750,63750,2,372
SiH9,D,20171109,63850,63850,63850,63850,4,376
SiH9,D,20171110,,,,,,376
SiH9,D,20171113,64000,64000,64000,64000,5,384
SiH9,D,20171114,64300,64300,64300,64300,5,374
SiH9,D,20171115,64700,64700,64700,64700,6,364
SiH9,D,20171116,,,,,,364
SiH9,D,20171117,,,,,,364
SiH9,D,20171120,,,,,,364
SiH9,D,20171121,,,,,,364
SiH9,D,20171122,63779,63779,63500,63500,6,374
SiH9,D,20171123,,,,,,374
SiH9,D,20171124,,,,,,374
SiH9,D,20171127,62831,63003,62831,63003,4,374
SiH9,D,20171128,,,,,,374
SiH9,D,20171129,62925,62925,62925,62925,1,374
SiH9,D,20171130,,,,,,374
SiH9,D,20171201,63150,63259,62940,62986,9,376
SiH9,D,20171204,63391,63391,63391,63391,2,380
SiH9,D,20171205,62999,63344,62987,63344,11,380
SiH9,D,20171206,63440,63440,63440,63440,2,380
SiH9,D,20171207,63480,63480,63480,63480,2,380
SiH9,D,20171208,63486,63486,63475,63475,9,390
SiH9,D,20171211,,,,,,390
SiH9,D,20171212,,,,,,390
SiH9,D,20171213,62663,62937,62663,62937,11,390
SiH9,D,20171214,62500,62600,62500,62600,2,394
SiH9,D,20171215,,,,,,394
SiH9,D,20171218,62412,62412,62410,62410,4,394
SiH9,D,20171219,62411,62477,62396,62477,10,394
SiH9,D,20171220,,,,,,394
SiH9,D,20171221,62676,62676,62676,62676,1,396
SiH9,D,20171222,62447,62447,62326,62326,7,396
SiH9,D,20171225,62033,62033,61900,61900,4,400
SiH9,D,20171226,61843,61843,61400,61497,13,410
SiH9,D,20171227,61301,64070,61258,61457,55,428
SiH9,D,20171228,61250,61301,61080,61080,14,436
SiH9,D,20171229,,,,,,436
SiH9,D,20180103,,,,,,436
SiH9,D,20180104,,,,,,436
SiH9,D,20180105,,,,,,436
SiH9,D,20180109,60600,60600,60311,60500,9,434
SiH9,D,20180110,60400,60500,60400,60400,23,442
SiH9,D,20180111,60622,60622,60300,60300,6,452
SiH9,D,20180112,60125,60150,60088,60150,7,466
SiH9,D,20180115,59800,59800,59770,59800,7,470
SiH9,D,20180116,,,,,,470
SiH9,D,20180117,,,,,,470
SiH9,D,20180118,60100,60100,59880,59880,27,520
SiH9,D,20180119,,,,,,520
SiH9,D,20180122,,,,,,520
SiH9,D,20180123,59750,59750,59750,59750,7,534
SiH9,D,20180124,,,,,,534
SiH9,D,20180125,59055,59055,58903,58920,3,534
SiH9,D,20180126,59056,59056,59056,59056,1,536
SiH9,D,20180129,58903,59558,57900,59558,12,536
SiH9,D,20180130,,,,,,536
SiH9,D,20180131,59570,59570,59400,59400,13,560
SiH9,D,20180201,59250,59250,59250,59250,1,558
SiH9,D,20180202,,,,,,558
SiH9,D,20180205,59800,59900,59800,59900,3,556
SiH9,D,20180206,60060,60250,60040,60150,11,556
SiH9,D,20180207,,,,,,556
SiH9,D,20180208,60379,60900,60379,60900,17,542
SiH9,D,20180209,61300,61300,60640,61200,26,526
SiH9,D,20180212,61568,61574,60950,60950,9,530
SiH9,D,20180213,60690,60690,60667,60667,4,530
SiH9,D,20180214,60220,60220,60220,60220,5,528
