<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiM9,D,20170609,,,,,,
SiM9,D,20170613,,,,,,
SiM9,D,20170614,,,,,,
SiM9,D,20170615,65212,67000,63003,66030,14,12
SiM9,D,20170616,,,,,,12
SiM9,D,20170619,66350,66350,66350,66350,5,20
SiM9,D,20170620,67722,67799,67539,67539,9,16
SiM9,D,20170621,68200,68200,68200,68200,5,26
SiM9,D,20170622,,,,,,26
SiM9,D,20170623,,,,,,26
SiM9,D,20170626,,,,,,26
SiM9,D,20170627,66306,67627,66306,67627,8,38
SiM9,D,20170628,68179,68179,68179,68179,1,36
SiM9,D,20170629,67630,67630,67595,67595,2,40
SiM9,D,20170630,,,,,,40
SiM9,D,20170703,67567,67576,67567,67576,2,42
SiM9,D,20170704,,,,,,42
SiM9,D,20170705,,,,,,42
SiM9,D,20170706,68548,68550,68548,68550,4,42
SiM9,D,20170707,68550,68550,68550,68550,1,44
SiM9,D,20170710,68799,68799,68649,68649,2,40
SiM9,D,20170711,69000,69000,69000,69000,2,42
SiM9,D,20170712,68791,68791,68091,68091,4,44
SiM9,D,20170713,68000,68000,68000,68000,1,46
SiM9,D,20170714,67750,67750,67500,67500,2,42
SiM9,D,20170717,67499,67628,67499,67628,3,42
SiM9,D,20170718,66954,67300,66954,67300,2,42
SiM9,D,20170719,67620,67620,67620,67620,1,42
SiM9,D,20170720,67562,67562,67562,67562,1,42
SiM9,D,20170721,67445,67457,66950,67321,4,46
SiM9,D,20170724,,,,,,46
SiM9,D,20170725,,,,,,46
SiM9,D,20170726,,,,,,46
SiM9,D,20170727,67992,67992,67799,67799,2,50
SiM9,D,20170728,,,,,,50
SiM9,D,20170731,68229,68229,68229,68229,1,52
SiM9,D,20170801,,,,,,52
SiM9,D,20170802,,,,,,52
SiM9,D,20170803,67888,67888,67888,67888,1,52
SiM9,D,20170804,,,,,,52
SiM9,D,20170807,,,,,,52
SiM9,D,20170808,,,,,,52
SiM9,D,20170809,,,,,,52
SiM9,D,20170810,,,,,,52
SiM9,D,20170811,,,,,,52
SiM9,D,20170814,,,,,,52
SiM9,D,20170815,,,,,,52
SiM9,D,20170816,,,,,,52
