<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20170904,,,,,,
SiU9,D,20170905,,,,,,
SiU9,D,20170906,67482,67482,67047,67047,4,8
SiU9,D,20170907,66871,66871,66871,66871,1,10
SiU9,D,20170908,66224,67150,64901,67150,101,12
SiU9,D,20170911,,,,,,12
SiU9,D,20170912,,,,,,12
SiU9,D,20170913,67039,67039,66187,66187,6,24
SiU9,D,20170914,66704,66704,66704,66704,1,26
SiU9,D,20170915,66912,66912,66329,66329,6,34
SiU9,D,20170918,66398,66599,66398,66599,2,30
SiU9,D,20170919,,,,,,30
SiU9,D,20170920,66840,66840,66840,66840,1,32
SiU9,D,20170921,66740,66740,66315,66649,12,50
SiU9,D,20170922,66400,66400,65900,65900,5,58
SiU9,D,20170925,66208,66208,65491,65491,3,58
SiU9,D,20170926,,,,,,58
SiU9,D,20170927,,,,,,58
SiU9,D,20170928,66088,66098,66088,66098,3,60
SiU9,D,20170929,65988,65988,65911,65911,2,64
SiU9,D,20171002,,,,,,64
SiU9,D,20171003,65087,65364,65087,65364,9,74
SiU9,D,20171004,65138,65164,64314,64314,8,84
SiU9,D,20171005,,,,,,84
SiU9,D,20171006,64469,64469,64469,64469,10,102
SiU9,D,20171009,65150,65150,65150,65150,1,104
SiU9,D,20171010,64829,64829,64829,64829,1,104
SiU9,D,20171011,,,,,,104
SiU9,D,20171012,64500,64629,64320,64629,3,102
SiU9,D,20171013,64174,64174,63715,63715,3,102
SiU9,D,20171016,63709,63781,63694,63701,5,104
SiU9,D,20171017,,,,,,104
SiU9,D,20171018,63890,63890,63890,63890,1,104
SiU9,D,20171019,63900,63900,63900,63900,1,104
SiU9,D,20171020,,,,,,104
SiU9,D,20171023,,,,,,104
SiU9,D,20171024,,,,,,104
SiU9,D,20171025,64286,64286,63839,64099,7,96
SiU9,D,20171026,,,,,,96
SiU9,D,20171027,64496,64506,64496,64506,3,102
SiU9,D,20171030,64150,64150,64150,64150,1,104
SiU9,D,20171031,64500,64500,64500,64500,2,104
SiU9,D,20171101,,,,,,104
SiU9,D,20171102,,,,,,104
SiU9,D,20171103,64600,65000,64600,65000,3,104
SiU9,D,20171107,64667,64667,64667,64667,1,104
SiU9,D,20171108,65523,65523,65430,65430,7,116
SiU9,D,20171109,,,,,,116
SiU9,D,20171110,65235,65235,65235,65235,1,118
SiU9,D,20171113,65462,65901,65462,65901,2,118
SiU9,D,20171114,66000,66000,66000,66000,5,118
SiU9,D,20171115,66350,66350,66350,66350,1,120
SiU9,D,20171116,66000,66000,66000,66000,2,122
SiU9,D,20171117,65800,65800,65800,65800,2,122
SiU9,D,20171120,,,,,,122
SiU9,D,20171121,,,,,,122
SiU9,D,20171122,,,,,,122
SiU9,D,20171123,65062,65062,65027,65027,2,126
SiU9,D,20171124,64981,64981,64600,64600,3,128
SiU9,D,20171127,64500,64838,64311,64316,8,130
SiU9,D,20171128,,,,,,130
