<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiZ9,D,20171215,,,,,,
SiZ9,D,20171218,68231,68231,65000,65884,12,24
SiZ9,D,20171219,,,,,,24
SiZ9,D,20171220,65121,65121,65081,65081,2,24
SiZ9,D,20171221,65255,65255,65255,65255,1,26
SiZ9,D,20171222,64776,64776,64776,64776,1,28
SiZ9,D,20171225,63161,64699,63161,64699,2,30
SiZ9,D,20171226,64295,64295,64118,64118,3,32
SiZ9,D,20171227,64000,64000,64000,64000,1,34
SiZ9,D,20171228,64500,64500,64500,64500,1,36
SiZ9,D,20171229,,,,,,36
SiZ9,D,20180103,,,,,,36
SiZ9,D,20180104,,,,,,36
SiZ9,D,20180105,,,,,,36
SiZ9,D,20180109,,,,,,36
SiZ9,D,20180110,63085,63090,63040,63090,5,36
SiZ9,D,20180111,63756,63756,63699,63699,2,40
SiZ9,D,20180112,63113,63113,62003,62003,2,40
SiZ9,D,20180115,,,,,,40
SiZ9,D,20180116,,,,,,40
SiZ9,D,20180117,,,,,,40
SiZ9,D,20180118,,,,,,40
SiZ9,D,20180119,,,,,,40
SiZ9,D,20180122,,,,,,40
SiZ9,D,20180123,,,,,,40
SiZ9,D,20180124,,,,,,40
SiZ9,D,20180125,62046,62046,61893,61893,2,44
SiZ9,D,20180126,,,,,,44
SiZ9,D,20180129,,,,,,44
SiZ9,D,20180130,,,,,,44
SiZ9,D,20180131,62139,62139,61986,61986,2,48
SiZ9,D,20180201,,,,,,48
SiZ9,D,20180202,,,,,,48
SiZ9,D,20180205,,,,,,48
SiZ9,D,20180206,,,,,,48
SiZ9,D,20180207,,,,,,48
SiZ9,D,20180208,63346,63400,62901,62901,3,48
SiZ9,D,20180209,63500,63600,63165,63165,18,74
SiZ9,D,20180212,64000,64000,63632,63632,2,76
SiZ9,D,20180213,63200,63200,63200,63200,1,76
SiZ9,D,20180214,62700,62700,62700,62700,1,76
SiZ9,D,20180215,62200,62200,61700,61700,2,76
SiZ9,D,20180216,,,,,,76
SiZ9,D,20180219,,,,,,76
SiZ9,D,20180220,,,,,,76
SiZ9,D,20180221,,,,,,76
SiZ9,D,20180222,,,,,,76
SiZ9,D,20180226,61200,61200,61200,61200,1,76
SiZ9,D,20180227,61111,61111,60949,60949,3,82
SiZ9,D,20180228,61523,61523,61523,61523,1,82
SiZ9,D,20180301,,,,,,82
SiZ9,D,20180302,61632,62089,61632,62089,2,86
SiZ9,D,20180305,,,,,,86
SiZ9,D,20180306,61310,61310,61310,61310,1,86
SiZ9,D,20180307,,,,,,86
SiZ9,D,20180309,,,,,,86
SiZ9,D,20180312,,,,,,86
SiZ9,D,20180313,,,,,,86
SiZ9,D,20180314,61534,61534,61500,61500,2,86
SiZ9,D,20180315,61900,61900,61700,61800,20,112
SiZ9,D,20180316,62200,62200,62200,62200,2,116
SiZ9,D,20180319,62200,62366,62200,62350,12,126
SiZ9,D,20180320,62300,62350,62127,62127,12,150
SiZ9,D,20180321,61880,61880,61880,61880,1,152
SiZ9,D,20180322,60999,61580,60999,61580,3,152
SiZ9,D,20180323,,,,,,152
SiZ9,D,20180326,61507,61507,61507,61507,1,154
SiZ9,D,20180327,,,,,,154
SiZ9,D,20180328,,,,,,154
SiZ9,D,20180329,,,,,,154
SiZ9,D,20180330,61597,61597,61597,61597,1,154
SiZ9,D,20180402,61870,61870,61870,61870,1,154
SiZ9,D,20180403,,,,,,154
SiZ9,D,20180404,62350,62350,62250,62250,10,174
SiZ9,D,20180405,,,,,,174
SiZ9,D,20180406,62248,62270,62248,62270,2,174
SiZ9,D,20180409,64009,64711,63750,64711,51,156
SiZ9,D,20180410,65000,67500,65000,66700,43,122
SiZ9,D,20180411,67000,68750,67000,68224,10,128
SiZ9,D,20180412,67700,67700,65500,65500,7,114
SiZ9,D,20180413,,,,,,114
SiZ9,D,20180416,,,,,,114
SiZ9,D,20180417,65693,65693,65000,65000,3,112
SiZ9,D,20180418,,,,,,112
SiZ9,D,20180419,,,,,,112
SiZ9,D,20180420,65209,65209,65209,65209,2,108
SiZ9,D,20180423,,,,,,108
SiZ9,D,20180424,,,,,,108
SiZ9,D,20180425,,,,,,108
SiZ9,D,20180426,66806,66806,66806,66806,1,108
SiZ9,D,20180427,,,,,,108
SiZ9,D,20180428,,,,,,108
SiZ9,D,20180430,,,,,,108
SiZ9,D,20180502,67000,67000,67000,67000,1,110
SiZ9,D,20180503,67235,67235,67235,67235,1,112
SiZ9,D,20180504,67053,67053,67000,67000,3,110
SiZ9,D,20180507,66500,66600,66500,66600,3,108
SiZ9,D,20180508,66800,67000,66800,67000,3,110
SiZ9,D,20180510,66001,66001,65800,65800,3,104
SiZ9,D,20180511,65300,65300,65300,65300,1,104
SiZ9,D,20180514,,,,,,104
SiZ9,D,20180515,,,,,,104
SiZ9,D,20180516,66500,66500,66000,66000,2,104
SiZ9,D,20180517,,,,,,104
SiZ9,D,20180518,,,,,,104
SiZ9,D,20180521,,,,,,104
SiZ9,D,20180522,,,,,,104
SiZ9,D,20180523,,,,,,104
SiZ9,D,20180524,64811,64811,64811,64811,1,104
SiZ9,D,20180525,65700,65700,65700,65700,2,100
SiZ9,D,20180528,,,,,,100
SiZ9,D,20180529,66500,66500,66500,66500,1,102
SiZ9,D,20180530,66000,66000,66000,66000,1,100
SiZ9,D,20180531,,,,,,100
SiZ9,D,20180601,,,,,,100
SiZ9,D,20180604,,,,,,100
SiZ9,D,20180605,,,,,,100
SiZ9,D,20180606,,,,,,100
SiZ9,D,20180607,,,,,,100
SiZ9,D,20180608,,,,,,100
SiZ9,D,20180609,,,,,,100
SiZ9,D,20180611,,,,,,100
SiZ9,D,20180613,,,,,,100
SiZ9,D,20180614,,,,,,100
SiZ9,D,20180615,65500,66500,65500,66500,3,100
SiZ9,D,20180618,66010,66010,66010,66010,7,114
SiZ9,D,20180619,67000,67685,67000,67685,2,112
SiZ9,D,20180620,67988,67990,64809,67000,25,106
SiZ9,D,20180621,67495,67495,67495,67495,5,96
SiZ9,D,20180622,66595,66595,66595,66595,1,98
SiZ9,D,20180625,,,,,,98
SiZ9,D,20180626,,,,,,98
SiZ9,D,20180627,,,,,,98
SiZ9,D,20180628,,,,,,98
SiZ9,D,20180629,,,,,,98
SiZ9,D,20180702,,,,,,98
SiZ9,D,20180703,,,,,,98
SiZ9,D,20180704,,,,,,98
SiZ9,D,20180705,,,,,,98
SiZ9,D,20180706,,,,,,98
SiZ9,D,20180709,,,,,,98
SiZ9,D,20180710,,,,,,98
SiZ9,D,20180711,,,,,,98
SiZ9,D,20180712,,,,,,98
SiZ9,D,20180713,,,,,,98
SiZ9,D,20180716,,,,,,98
SiZ9,D,20180717,,,,,,98
SiZ9,D,20180718,,,,,,98
SiZ9,D,20180719,,,,,,98
SiZ9,D,20180720,,,,,,98
SiZ9,D,20180723,,,,,,98
SiZ9,D,20180724,,,,,,98
SiZ9,D,20180725,,,,,,98
SiZ9,D,20180726,,,,,,98
SiZ9,D,20180727,,,,,,98
SiZ9,D,20180730,,,,,,98
SiZ9,D,20180731,65967,65967,65800,65800,2,100
SiZ9,D,20180801,65892,66095,65892,66095,2,100
SiZ9,D,20180802,66150,67242,66150,66898,5,102
SiZ9,D,20180803,66710,67000,66576,66576,5,112
SiZ9,D,20180806,,,,,,112
SiZ9,D,20180807,,,,,,112
SiZ9,D,20180808,67500,68654,67083,67957,16,110
SiZ9,D,20180809,69455,69500,69000,69500,3,114
SiZ9,D,20180810,69500,70568,69097,70568,11,126
SiZ9,D,20180813,71316,71316,70800,70800,4,126
SiZ9,D,20180814,70000,70333,69500,69500,4,122
SiZ9,D,20180815,70123,70700,70123,70700,4,124
SiZ9,D,20180816,71200,71200,70100,70490,6,124
SiZ9,D,20180817,70856,70856,70644,70750,4,126
SiZ9,D,20180820,70600,70644,70600,70644,6,120
SiZ9,D,20180821,,,,,,120
SiZ9,D,20180822,71500,71500,71500,71500,1,122
SiZ9,D,20180823,71691,71691,71568,71568,2,126
SiZ9,D,20180824,70900,70900,70900,70900,1,124
SiZ9,D,20180827,70961,71079,70899,70899,3,130
SiZ9,D,20180828,70879,70879,70800,70800,2,130
SiZ9,D,20180829,71500,71500,71500,71500,1,130
SiZ9,D,20180830,,,,,,130
SiZ9,D,20180831,70886,70886,70886,70886,1,132
SiZ9,D,20180903,70668,73817,69919,71359,33,146
SiZ9,D,20180904,71348,71348,71348,71348,1,146
SiZ9,D,20180905,71665,72000,71665,72000,4,154
SiZ9,D,20180906,,,,,,154
SiZ9,D,20180907,72627,72962,72627,72962,5,158
SiZ9,D,20180910,72749,74000,72749,73800,35,186
SiZ9,D,20180911,73988,73988,73186,73300,7,180
SiZ9,D,20180912,73013,73013,72044,72250,15,178
SiZ9,D,20180913,71621,72721,71500,71699,34,190
SiZ9,D,20180914,71700,71700,70217,71485,18,204
SiZ9,D,20180917,71876,71876,71876,71876,1,206
SiZ9,D,20180918,72064,72064,71074,71074,6,208
SiZ9,D,20180919,70613,71140,70300,70648,32,216
SiZ9,D,20180920,70740,70740,69713,70379,41,232
SiZ9,D,20180921,69680,70853,69660,70192,79,236
SiZ9,D,20180924,69631,70391,68677,69201,295,612
SiZ9,D,20180925,68977,69626,68977,69038,35,606
SiZ9,D,20180926,69434,69434,69043,69359,9,614
SiZ9,D,20180927,69550,69766,69103,69180,17,592
SiZ9,D,20180928,68824,69539,68824,69539,4,596
SiZ9,D,20181001,69129,69404,69036,69036,11,606
