date,AFKS,AFLT,AKRN,ALRS,AMEZ,APTK,BANE,BANEP,BLNG,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,GMKN,HYDR,IRAO,IRKT,ISKJ,KMAZ,KUBE,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PLZL,PMSBP,RASP,RBCM,ROSN,ROST,RTKM,RTKMP,RUGR,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKN
2012-01-03,24.04,50.99,1362.9,30.99,7.975,39.31,1380.0,1095.0,9.842,75.0,389.0,2680.0,16.642,0.993,0.30901,8.59,177.5,559.9,5015.0,1.0005,0.03487,6.063,10.076,36.64,72.17,1731.0,4539.9,1590.3,10.287,23.14,476.3,12.949,2860.0,0.6288,52.72,0.14977,0.10999,0.2022,0.0844,0.069,0.08398,1.7466,1.63,189.37,283.0,206.5,185.96,183.99,22.55,16.361,67.37,3.1362,399.39,0.779,8500.0,77.49,1030.0,63.54,101.69,13.85,218.0,134.0,153.5,96.7,50.02,82.41,61.3,10.499,150.18,26.138,16.739,0.4774,313.6,172.01,92.48,0.0096,0.00261,0.00164
2012-01-04,23.999,52.27,1334.5,31.0,7.71,39.46,1375.6,1117.0,9.846,74.5,395.6,2689.0,16.631,1.0157,0.31149,8.495,176.91,549.1,5001.0,1.0115,0.03463,6.059,10.3,37.0,71.0,1722.1,4550.0,1612.0,10.241,22.5,478.1,12.85,2864.0,0.6244,52.67,0.145,0.1148,0.2034,0.08283,0.06844,0.08499,1.7544,1.63,185.98,282.1,203.93,187.01,183.0,22.75,16.41,66.8,3.1365,395.43,0.799,8203.0,77.0,1027.0,63.0,101.42,13.82,222.4,132.6,153.77,97.1,60.0,83.52,61.3,10.59,148.7,26.13,16.65,0.4698,315.0,173.24,92.0,0.00959,0.00261,0.00166
2012-01-05,24.045,50.88,1315.0,29.995,7.7,43.9,1374.9,1119.9,9.949,73.99,397.0,2680.0,17.15,1.038,0.31014,8.46,177.2,540.0,4856.0,1.0008,0.03461,6.0,10.081,36.61,71.54,1723.2,4599.0,1595.0,10.249,22.5,480.3,12.719,2850.2,0.63,52.19,0.14195,0.11004,0.2,0.0839,0.06871,0.083,1.7465,1.6225,179.02,287.9,203.0,189.24,184.0,22.784,16.725,66.37,3.205,393.01,0.81,8100.0,75.52,1017.5,62.85,100.7,13.81,218.82,125.6,153.32,98.0,61.99,82.55,60.63,10.477,148.93,25.841,16.529,0.4829,312.2,168.91,91.91,0.00959,0.00265,0.00165
2012-01-06,24.4,50.51,1325.8,30.093,7.695,48.27,1380.0,1132.6,9.95,73.99,404.1,2716.0,17.0,1.0487,0.3116,8.498,176.2,555.2,4852.0,1.003,0.03419,6.039,10.158,36.8,71.2,1738.4,4600.0,1614.0,10.39,22.549,476.5,12.827,2865.1,0.6273,52.62,0.14571,0.1175,0.20399,0.08344,0.06888,0.08397,1.7373,1.6162,182.97,296.8,203.0,198.5,184.0,22.8,16.9,67.6,3.2949,394.64,0.8166,8400.0,74.71,1031.0,,101.2,13.936,221.19,135.5,154.01,98.65,60.93,83.2,60.92,10.554,149.0,26.0,16.566,0.483,308.1,170.0,91.82,0.0095,0.00267,0.00168
2012-01-09,24.47,50.58,1319.9,30.07,7.798,50.49,1370.0,1141.0,9.944,75.0,409.7,2850.0,20.4,1.03,0.31317,8.315,177.27,588.8,4929.0,1.0079,0.034,6.0,10.186,36.82,71.0,1754.3,4600.0,1615.0,10.4,22.898,474.6,12.856,2911.6,0.6298,52.97,0.1469,0.116,0.20444,0.085,0.069,0.08486,1.7404,1.5999,180.01,292.7,200.0,199.6,184.29,23.0,16.899,68.35,3.2,395.97,0.826,8102.0,73.71,1054.7,63.75,101.98,15.1,222.22,133.0,154.0,98.0,60.39,83.88,61.98,10.3,148.5,25.92,16.584,0.51,312.0,172.2,92.11,0.00948,0.00272,0.00168
2012-01-10,25.0,50.62,1357.0,30.44,7.987,48.32,1381.0,1145.0,9.88,74.85,408.5,2925.0,19.288,1.14,0.32554,8.533,179.61,594.7,5219.0,1.0375,0.0342,6.1,10.19,37.2,72.5,1783.7,4789.5,1620.0,10.55,22.826,477.6,13.33,2964.3,0.6535,53.65,0.14951,0.11999,0.20777,0.08546,0.07076,0.08498,1.7599,1.5777,182.97,303.1,204.85,203.5,193.99,22.996,17.241,69.88,3.12,401.13,0.8232,8385.0,75.0,1054.8,64.0,102.87,15.249,227.11,133.0,153.5,97.81,53.08,86.81,64.15,10.552,150.52,26.35,16.715,0.5,315.8,174.0,92.12,0.00942,0.00273,0.00171
2012-01-11,24.839,50.65,1351.7,30.112,8.15,48.42,1375.6,1146.9,9.851,75.0,408.0,2895.0,18.225,1.1305,0.3165,8.4,178.1,609.0,5240.0,1.0341,0.03301,6.001,10.255,37.22,71.55,1782.0,4729.9,1638.3,10.237,22.85,475.5,13.162,3080.1,0.6512,52.51,0.14944,0.11715,0.20001,0.08291,0.07048,0.08484,1.7354,1.5549,181.98,300.5,205.0,198.73,193.5,22.799,17.1,70.17,3.12,395.4,0.8,8290.0,74.41,1063.1,65.22,102.4,14.88,227.5,131.5,150.12,97.5,54.98,84.85,62.84,9.676,149.5,26.288,16.73,0.5099,321.9,169.9,91.35,0.00941,0.0027,0.0017
2012-01-12,24.865,50.38,1354.0,30.699,8.101,47.98,1375.0,1145.0,9.905,75.77,416.6,2900.0,18.122,1.1335,0.3125,8.457,177.74,601.0,5350.0,1.0379,0.03226,6.119,10.547,38.25,73.5,1761.1,4598.0,1598.0,10.298,23.14,478.0,13.287,3075.0,0.6483,58.0,0.1455,0.11749,0.20745,0.0843,0.07049,0.0853,1.7299,1.52,181.19,307.7,212.0,204.05,194.24,22.6,17.125,71.45,3.075,391.51,0.8058,8200.0,74.35,1067.5,65.25,106.37,14.69,226.0,130.7,153.85,99.0,54.94,84.3,62.62,10.0,149.0,26.301,16.9,0.4707,326.5,168.61,92.0,0.0094,0.00275,0.00171
2012-01-13,25.243,50.19,1329.9,30.4,8.1,46.94,1389.0,1154.9,9.922,77.05,413.7,2875.0,18.2,1.135,0.31469,8.482,178.84,600.0,5340.0,1.0272,0.0318,6.057,10.704,37.65,73.65,1751.2,4600.0,1629.8,10.25,22.999,493.0,13.096,3065.0,0.6405,57.01,0.14517,0.11805,0.20776,0.0835,0.07,0.085,1.72,1.5001,181.36,303.2,212.35,207.5,192.5,22.75,17.354,70.5,3.0168,389.71,0.7884,8120.0,73.05,1053.7,66.0,111.5,14.625,226.0,129.9,153.84,99.0,60.45,83.6,62.51,11.0,146.18,26.05,17.115,0.4602,318.8,167.5,92.44,0.0092,0.00276,0.0017
2012-01-16,25.475,49.74,1333.9,30.15,8.194,46.55,1405.0,1190.0,9.921,76.49,418.3,2875.0,17.842,1.1275,0.32028,8.4,178.5,596.3,5341.0,1.024,0.03175,6.008,10.714,37.37,75.24,1768.2,4575.0,1621.5,10.23,23.03,503.0,13.0,3054.0,0.636,56.19,0.14444,0.121,0.21096,0.08181,0.06994,0.08499,1.701,1.5099,180.25,300.8,213.99,207.05,194.25,22.65,17.324,69.95,3.03,388.75,0.7778,8251.0,72.7,1051.8,65.99,118.0,14.45,227.52,131.5,152.5,95.44,53.97,83.95,62.52,10.562,145.73,25.997,17.041,0.466,316.0,168.0,92.51,0.00898,0.00275,0.0017
